ALGUM COISA TENTAR	Vamos tentar alguma coisa!
LEITOR ESTE ALTURA INTERROMPER IRRITAR	Nesta altura o leitor, irritado, interrompe...
ONDE NENHUM ISSO HAVER PAÍS ACONTECER A A NÃO SER QUE REINO REVISTA NOME OU NAÇÃO QUALQUER 4 MURO RILHAFOLES SONHAR	— Não há país nenhum onde isso aconteça!... A não ser que se chame “país” a qualquer reino de revista de ano, ou a qualquer nação sonhada entre os quatro muros de Rilhafoles...
LEI DEFESA DO REINO POPULAR INICIAIS NOME DESIGNAÇÃO SEU CONHECER	(Lei de Defesa do Reino!), popularmente conhecida, das iniciais do seu nome, pela designação de “Dora”.
NÓS FANTÁSTICO ESTE UM POUCO EXEMPLO FIXAR ESPANTOSO ESTE UM POUCO CASO NÓS ATENTAR O NÓS SINAL TEMPOS TER PROMULGAR CHEGAR FLAGRANTE MULHER PRESCRIÇÃO PONTO MOTIVO RESTRIÇÃO CONTINUAR NATUREZA LEGISLATIVO COMÉRCIO DIZER REVELAR CITAR (NÃO)	Fixemo-nos um pouco neste exemplo fantástico. Atentemos um pouco neste caso espantoso. O que temos diante de nós é um sinal dos tempos. O ter-se chegado a promulgar, e o continuar-se a manter, num país de que se diz, não sem motivo, que está na vanguarda da civilização, uma lei da natureza delirante daquelas cujas prescrições citámos, revela flagrantemente a que ponto se chegou no emprego legislativo da restrição do comércio e do consumo.
ESTADO ARISTÓTELES EXISTIR INDIVÍDUO EXCEPTO INDIVÍDUO ESTADO QUANDO INTERESSE INDIVÍDUO EXISTÊNCIA SEU GUERRA SEU MESMA MESMA MESMA MESMA GARANTIA EXERCÍCIO MESMA LIBERDADE COMPELIR ABDICAR (NÃO)	de Aristóteles — que o Estado existe para o indivíduo, e não o indivíduo para o Estado, excepto quando um manifesto interesse colectivo, como na guerra, compele o indivíduo a abdicar da sua liberdade em proveito da defesa da sociedade, cuja existência, aliás, é a garantia do exercício dessa sua mesma liberdade.
MAS JÁ TEMPO CÁ ANTES GUERRA HAVER MAS SOBRETUDO DEPOIS GUERRA CERTO CONSEQUÊNCIA TENDÊNCIAS ACENTUAR TER ANTERIOR ESTAS ESBOÇAR MULHER PRÁTICA LEGISLATIVO SÉCULO MULHER PRÁTICA ELAS CONTRÁRIO ANTERIOR E COMEÇAR EXACTO ECONOMICAMENTE SOCIAL INDIVÍDUO RESTRINGIR ELE RECOMEÇAR COMEÇAR	Mas de há um tempo para cá — já desde antes da Guerra, mas sobretudo depois da Guerra, que teve por consequência acentuar certas tendências, e entre elas estas, esboçadas anteriormente — a tendência legislativa começou a ser exactamente contrária à do século anterior na prática e dos séculos anteriores na teoria. Recomeçou-se a restringir, social e economicamente, a liberdade do indivíduo. Começou
ECONOMICAMENTE ELE TOLHER SOCIAL VIDA COMERCIANTE	a tolher-se, social e economicamente, a vida do comerciante.
{EFECTIVO ESSE PROVEITO ELE DAR}(q)	E dar-se-á efectivamente esse proveito?
O EXAMINAR	É o que vamos examinar.
RESTRITIVO LEGISLAÇÃO 5 ASPECTO ASSUMIR CONSOANTE ELEMENTO BENEFICIAR PRETENDER L A HAVER LEGISLAÇÃO COLECTIVIDADE PAÍS BENEFICIAR PRETENDER PROIBIR	A legislação restritiva assume cinco aspectos, consoante o elemento social que pretende beneficiar. Há, (l) a legislação restritiva que pretende beneficiar a colectividade, o país: é a que proíbe
{SOCIAL ESTE CASO REVISTA ARTIGO TRATAR OLHAR NÃO O DEPRIMENTE HAVER NÓS CONSIDERAR NÃO IGNÓBIL O CIRCUNSTÂNCIA ADULTO HOMEM BEBER PRESCREVER O COMO AÇAIMO FORÇAS DOIDO BEBER PÔR 1 NÃO NEM LOGICAMENTE ESSE CAMINHO LUGAR ONDE IR NÓS CONSIDERAR PARAR DEVER HAVER NÃO SE ESTADO INDICAR BEBER HAVER COMER VESTIR FAZER HAVER ONDE HAVER QUEM HAVER MORAR CASAR PRESCREVER NÃO OU HAVER DAR CASAR NÃO OU DAR NÃO FÍSICO NOSSO TODO ESTE COISA IMPORTÂNCIA SAÚDE ELES TER MORAL SE ESTADO DISPOR MÉDICO TUTOR RAZÃO MULHER AMO ELAS NÃO ESTAR CERTO TODO DISPOR NÃO}(q)	Não olhemos ao caso social; tratá-lo não está na índole desta Revista, nem, portanto, na deste artigo. Não consideremos o que há de deprimente e de ignóbil na circunstância de se prescrever a um adulto, a um homem, o que há-de beber e o que não há-de beber; de lhe pôr açaimo, como a um cão, ou um colete de forças, como a um doido. Nem consideremos que, indo por esse caminho, não há lugar certo onde logicamente se deva parar: e se o Estado nos indica o que havemos de beber, por que não decretar o que havemos de comer, de vestir, de fazer? por que não prescrever onde havemos de morar, com quem havemos de casar ou não casar, com quem havemos de dar-nos ou não dar-nos? Todas estas coisas têm importância para a nossa saúde física e moral; e se o Estado se dispõe a ser médico, tutor e ama para uma delas, por que razão se não disporá a sê-lo para todas?
ESTE 2 PARALELAMENTE LARGO PAGO FISCAL ESTADO QUANDO DIRECTO PELO MENOS BEBIDAS FORNECER FORNECER ELE ESTABELECER VER (NÃO)	2) Paralelamente a esta larga corrupção dos fiscais do Estado, pagos, quando não para directamente fornecer bebidas alcoólicas pelo menos para as não ver fornecer, estabeleceu-se,
ASSIM TODO TODO ELES 3 CONCLUSÃO EXAMINAR GÉNERO COMERCIANTE MULHER PERTURBAÇÃO PREJUDICAR PRODUZIR BENEFICIAR CHEGAR NUNCA NÃO NUNCA NÃO NUNCA NÃO NUNCA NÃO NUNCA NÃO PRÓPRIAS MAIS ESSE LEIS MULHER VEZ CLASSES PROVEITO PREJUDICAR FAZER RESTRITIVO PORTANTO LEGISLAÇÃO TODO NOCIVO RAMOS INÚTIL SEU RESULTAR	Examinados, assim, todos os géneros de legislação restritiva, chegámos à conclusão que todos eles têm de comum: 1) prejudicar o comerciante; 2) produzir perturbações económicas; 3) nunca beneficiar, e as mais das vezes prejudicar, as próprias classes em cujo proveito essas leis foram feitas. A legislação restritiva, em todos os seus ramos, resulta, portanto, inútil e nociva.
LEI BENÉFICO QUALQUER NENHUM ATACAR SOCIAL CLASSE OU SEU ELE RESTRINGIR CLASSES COMPARTIMENTOS SEPARAR ESTANQUES VIVER NÃO CONSTANTE PERPÉTUO INTERDEPENDÊNCIA ENTREPENETRAÇÃO ELES VIVER O TODAS LESAR LEI TODAS ATACAR ATACAR ARTIGO TODO ESTE DEMONSTRAÇÃO FACTO (NÃO)	Nenhuma lei é benéfica se ataca qualquer classe social ou restringe a sua liberdade. As classes sociais não vivem separadas, em compartimentos estanques. Vivem em perpétua interdependência, em constante entrepenetração. O que lesa uma, lesa todas. A lei que ataca uma, é a todas que ataca. Todo este artigo é uma demonstração desse facto.
SÓ POIS COMERCIANTE MAS MESMO PÚBLICO GERAL DEVER CONSEGUIR REAGIR ENÉRGICO TER INVARIAVELMENTE CONSTANTE MALÉFICAS PROMULGAÇÃO COMO SE BENÉFICAS LEIS DEMONSTRAR PARECER OU AS INSTITUIR (NÃO)	Não é, pois, só o comerciante, mas o público em geral, que tem o dever para consigo mesmo de reagir enérgica e constantemente contra a promulgação das leis restritivas, invariavelmente maléficas, como se demonstrou, por benéficas que pareçam ou as instituem.
QUINTO	Quinto
ENCOBERTO	O ENCOBERTO
SÍMBOLO FECUNDO	Que símbolo fecundo
{ANSIOSO AURORA ELE VIR}(q)	Vem na aurora ansiosa?
CRUZ MORTA DO MUNDO	Na Cruz Morta do Mundo
VIDA ROSA	A Vida, que é a Rosa.
SÍMBOLO DIVINO	Que símbolo divino
{JÁ DIA ELE TRAZER VER}(q)	Traz o dia já visto?
CRUZ DESTINO	Na Cruz, que é o Destino,
ROSA CRISTO	A Rosa, que é o Cristo.
SÍMBOLO FINAL	Que símbolo final
{JÁ DESPERTO ELE MOSTRAR}(q)	Mostra o sol já desperto?
FATAL CRUZ MORTO	Na Cruz morta e fatal
ROSA DO ENCOBERTO	A Rosa do Encoberto.
NÃO SÓ PRINCÍPIO ESTE PRESENTE FINS ORGANIZAÇÃO DEVER MAS TAMBÉM COMPETENTE FINS CASA CHEFES PAÍSES ESPECIALIZAÇÃO TRATAR ATINGIR DEFINIR	Este princípio deve ter-se presente, não só para fins de organização mas também para fins de se tratar competentemente com os chefes de casas comerciais de países que atingiram uma especialização mercantil definida.
BANDARRA	O BANDARRA
DISPERSO ANÓNIMO ELE SONHAR	Sonhava, anónimo e disperso,
MESMO IMPÉRIO POR DEUS VER	O Império por Deus mesmo visto,
CONFUSO COMO UNIVERSO	Confuso como o Universo
PLEBEU COMO JESUS CRISTO	E plebeu como Jesus Cristo.
NEM SANTO NEM HERÓI ELE IR (NÃO)	Não foi nem santo nem herói,
MAS SEU DEUS SINAL SAGRAR	Mas Deus sagrou com Seu sinal
ESTE CORAÇÃO IR	Este, cujo coração foi
PORTUGUÊS MAS PORTUGAL (NÃO)	Não português mas Portugal.
COMERCIAL FUNDAMENTAL CORRESPONDÊNCIA CONFECÇÃO 2 CRITÉRIO HAVER OS OPOR DIFÍCIL ESCOLHER PREFERIR DEVER	Na confecção da correspondência comercial há dois critérios fundamentais e opostos, entre os quais é difícil escolher o que deva preferir-se.
CRITÉRIO O ESTILO FEIÇÃO ESTILO CARTAS CORRESPONDENTE ADAPTAR	O segundo critério é o de adaptar o estilo e feição da carta ao estilo e feição das cartas do correspondente.
UNIVERSAL NENHUM NOSSO VER PREFERÍVEL CRITÉRIOS 1 OPOSTO CASO CASO HAVER ERRAR ERRAR	A nosso ver, nenhum dos critérios é universalmente preferível. Há casos em que um estaria errado, casos em que estaria errado o oposto.
IMPORTANTE NOME COMERCIANTE ATENÇÃO EXISTÊNCIA 2 CRITÉRIO ELES EXISTIR SABER ELES CONSISTIR PRINCIPAL	O importante é chamar-se a atenção do comerciante para a existência dos dois critérios. Saber que eles existem, e em que consistem, é o principal.
ANTÓNIO VIEIRA	ANTÓNIO VIEIRA
ESTE FAMA TER GLÓRIA TER	Este, que teve a fama e a glória tem,
IMPERADOR PORTUGUÊS LÍNGUA	Imperador da língua portuguesa,
TAMBÉM CÉU ELE IR	Foi-nos um céu também.
IMENSO ESPAÇO SEU MEDITAR	No imenso espaço seu de meditar,
FORMA VISÃO CONSTELAR	Constelado de forma e de visão,
CLARO PRENÚNCIO LUAR ELE SURGIR	Surge, prenúncio claro do luar,
EL REI D. SEBASTIÃO	El-Rei D. Sebastião. 
MAS LUAR LUZ ETÉREO (NÃO)	Mas não, não é luar: é luz do etéreo.
DIA CÉU AMPLO DESEJO	É um dia; e, no céu amplo de desejo,
MADRUGADA IRREAL QUINTO IMPÉRIO	A madrugada irreal do Quinto Império
MULHER MARGEM TEJO DOIRAR	Doira as margens do Tejo.
TERCEIRO	Terceiro
LIVRO MULHER BEIRA MÁGOA MEU EU ESCREVER	Escrevo meu livro à beira-mágoa.
CORAÇÃO MEU TER (NÃO)	Meu coração não tem que ter.
QUENTES OLHO ÁGUA MEU EU TER	Tenho meus olhos quentes de água.
SÓ DAR TU SENHOR EU VIVER	Só tu, Senhor, me dás viver.
SÓ TU SENTIR TU PENSAR	Só te sentir e te pensar
VÁCUOS DIA MEU ELE ENCHER ELE DOURAR	Meus dias vácuos enche e doura.
MAS VOLTAR TU QUERER QUANDO (NÃO)	Mas quando quererás voltar?
REI QUANDO HORA QUANDO (NÃO)	Quando é o Rei? Quando é a Hora?
QUANDO TU VIR CRISTO	Quando virás a ser o Cristo
FALSO DEUS QUEM MORRER	De a quem morreu o falso Deus,
MAL DESPERTAR EXISTIR	E a despertar do mal que existo
{NOVOS CÉUS NOVA TERRA}(q)	A Nova Terra e os Novos Céus?
QUANDO Ó ENCOBERTO VIR	Quando virás, ó Encoberto,
SONHO PORTUGUÊS ERAS	Sonho das eras português,
EU INCERTO SOPRO TORNAR	Tornar-me mais que o sopro incerto
{ANSEIO DEUS FAZER}(q)	De um grande anseio que Deus fez?
AH QUANDO TU QUERER VOLTAR	Ah, quando quererás, voltando,
{AMOR ESPERANÇA MEU FAZER}(q)	Fazer minha esperança amor?
SAUDADE NÉVOA QUANDO (NÃO)	Da névoa e da saudade quando?
MEU SENHOR MEU SONHO QUANDO (NÃO)	Quando, meu Sonho e meu Senhor?
METAFISICAMENTE FÍSICO TUDO ISTO DISCORRER METAFISICAMENTE TODO CONCEITOS POSSÍVEIS AINDA QUE ENVOLVER POIS QUE CONTRADIÇÃO METAFÍSICA IMPROVÁVEL SENÃO COMO INVERIFICÁVEL TAL EXISTÊNCIA DETERMINADO EXISTÊNCIA SI SÓ OCUPAR CONSIDERAR COMO NADA CERTO SI IGNORAR SABER PORTANTO ELE INCLUIR ADMITIR PODER OU MESMO ESSENCIAL CONTRADIÇÃO (NÃO)	Discorremos, em tudo isto, física que não metafisicamente. Metafisicamente todos os conceitos são possíveis, ainda que envolvam contradição; pois que a metafísica improvável e inverificável determinadamente, se ocupa, não de tal existência, senão da existência em si, do ser considerado só como ser — e como da existência em si, nada sabemos de certo, ignoramos portanto poder admitir, que inclua, ou mesmo seja essencialmente, contradição ou negação de si, ou mesmo coisa nenhuma.
LIVRO LÊS TER (NÃO)	Tens um livro que não lês,
LIVRO LÊS TER (NÃO)	Tens um livro que não lês,
FLOR DESFOLHAS TER	Tens uma flor que desfolhas;
CORAÇÃO PÉS TER	Tens um coração aos pés
DELE TU OLHAR (NÃO)	E para ele não olhas.
COMO QUE MISÉRIA COISA SEU OUTRO COISA MISÉRIA EU HOMEM PAISAGEM VILA QUARTO BAIXA MEU SENTIR CONTEMPLAR QUE PODER AJUDANTE GUARDA-LIVROS ESQUECER	As misérias de um homem que sente o tédio da vida do terraço da sua vila rica são uma coisa; são outra coisa as misérias de quem, como eu, tem que contemplar a paisagem do meu quarto num 4º andar da Baixa, e sem poder esquecer que é ajudante de guarda-livros.
TOUT RÊVÉ DES SULTANES	Tout notaire a rêvé des sultanes...
ASSIM NOME INSERTO MEU ELE VIR ANUÁRIO COMERCIAL NÃO_SABER {NÃO}(headshake)	Não sei como inserto o meu nome vem assim no Anuário Comercial.
EPÍGRAFE DIÁRIO	Epígrafe ao Diário
RUA DOS RETROSEIROS GUEDES VICENTE COMÉRCIO 0 EMPREGAR	Guedes (Vicente), empregado do comércio, Rua dos Retroseiros, 17-4º.
ANUÁRIO COMERCIAL PORTUGAL	Anuário Comercial de Portugal
MANIA ABSURDO PARADOXO ANIMAL SPIRITS TRISTE NORMAL COMO HOMEM DISPARATES VITALIDADE ELE DIZER OUTROS SANGUE PALMAR COSTAS INCAPAZES ENTUSIASMO DAR FRIO INTELIGÊNCIA ALEGRIA CAMBALHOTAS QUENTES VIDA GESTOS SEU ELES DAR FAZER	A mania do absurdo e do paradoxo é o animal spirits dos tristes. Como o homem normal, diz disparates por vitalidade, e por sangue dá palmadas nas costas de outros, os incapazes de entusiasmo e de alegria dão cambalhotas na inteligência, a seu frio modo fazem os gestos quentes da vida.
TU DIZER GOSTAR NUNCA NÃO	Nunca dizes se gostaste
TU DIZER GOSTAR NUNCA NÃO	Nunca dizes se gostaste
AQUILO TU CALAR	Daquilo que te calei.
BEM O ADIVINHAR SABER	Sei bem que o adivinhaste.
PENSAR O NÃO_SABER {NÃO}(headshake)	O que pensaste não sei.
PACIÊNCIAS	PACIÊNCIAS
VASO AQUELE DAR	O vaso que dei àquela
VASO AQUELE DAR	O vaso que dei àquela
LHE O DAR NÃO_SABER {NÃO}(headshake)	Que não sabe quem lho deu
JANELA PÔR ELE 1	Há-de ser posto à janela
NINGUÉM MEU SABER	Sem ninguém saber que é meu.
POENTES RITUAL FUNDO MULHER PAISAGEM QUERER ACONTECER FAZER	Poentes de [...] e ritual feito, acontecidos, sem querer, ao fundo de paisagens.
PENSAMENTOS MONTES PAISAGEM CABISBAIXO CONTRASTES NOSSO MONTES HAVER AINDA_NÃO VERDADEIRO DETALHE ESSE MONTES PAISAGEM MATAR {NÃO}(headshake)	Paisagem cabisbaixa, sem contrastes; cujos únicos montes eram os nossos pensamentos de que ali não havia montes; e esses montes eram verdadeiramente um detalhe morto da paisagem.
CALMAS VIDA PALAVRAS DESFASTIO PAREDES MULHER NUVEM NOSSO POUCO DIVIDIR VALER NÓS TEMPO SENTIR CORAÇÃO BATER SOBRAR (NÃO)	Calmas vozes dividindo palavras por desfastio, para além de paredes de nuvens... A nossa vida vale pouco e não nos sobra tempo para sentirmos bater o coração.
LÍRIOS	[Até os lírios (...)]
DOIS EXCERTOS ODES	DOIS EXCERTOS DE ODES
2 FINS DE ODES NATURALMENTE	(FINS DE DUAS ODES, NATURALMENTE)
IR	I
IDÊNTICO NOITE ANTIGO VIR	Vem, Noite antiquíssima e idêntica, 
NOITE RAINHA NASCER DESTRONAR	Noite Rainha nascida destronada, 
DENTRO NOITE IGUAL SILÊNCIO NOITE	Noite igual por dentro ao silêncio. Noite 
ESTRELAS RÁPIDAS LANTEJOULAS	Com as estrelas lantejoulas rápidas 
VESTIDO INFINITO TEU FRANJAR	No teu vestido franjado de Infinito.
VAGO ELE VIR	Vem, vagamente, 
LEVE ELE VIR	Vem, levemente, 
SÓ SOLENE MÃOS CAIR	Vem sozinha, solene, com as mãos caídas 
LADO TEU VIR	Ao teu lado, vem 
LONGÍNQUOS PRÓXIMAS MONTES PÉ ÁRVORES ELE TRAZER	E traz os montes longínquos para o pé das árvores próximas. 
TODO CAMPO CAMPOS FUNDIR VER	Funde num campo teu todos os campos que vejo, 
SÓ TU FAZER MONTANHA BLOCO TEU CORPO	Faze da montanha um bloco só do teu corpo, 
LONGE TODAS AS DIFERENÇAS APAGAR VER	Apaga-lhe todas as diferenças que de longe vejo.
A ESTRADAR SUBIR	Todas as estradas que a sobem, 
AO LONGE TODAS AS VÁRIOS A ÁRVORES VERESCURO FAZER	Todas as várias árvores que a fazem verde-escuro ao longe. 
TODAS AS CASA BRANCAS FUMO ÁRVORES	Todas as casas brancas e com fumo entre as árvores, 
SÓ OUTRA LUZ LUZ MAIS OUTRA ELE DEIXAR	E deixa só uma luz e outra luz e mais outra, 
VAGO DISTÂNCIA	Na distância imprecisa e vagamente perturbadora. 
SUBITAMENTE IMPOSSÍVEL DISTÂNCIA PERCORRER	Na distância subitamente impossível de percorrer.
SENHORA	Nossa Senhora 
COISA IR PROCURAR	Das coisas impossíveis que procuramos em vão, 
SONHOS CONNOSCO CREPÚSCULO JANELA TER VIR	Dos sonhos que vêm ter connosco ao crepúsculo, à janela. 
PROPÓSITOS NÓS ACARICIAR	Dos propósitos que nos acariciam 
GRANDE TERRAÇOS HOTÉIS COSMOPOLITAS	Nos grandes terraços dos hotéis cosmopolitas 
LONGE SOM EUROPEU MÚSICAS MULHER VOZ PERTO	Ao som europeu das músicas e das vozes longe e perto. 
QUE DOER OS REALIZAR SABER NUNCA NÃO	E que doem por sabermos que nunca os realizaremos... 
ELE VIR NÓS EMBALAR	Vem, e embala-nos, 
ELE VIR NÓS AFAGAR	Vem e afaga-nos. 
SILENCIOSO NÓS FRONTE BEIJAR	Beija-nos silenciosamente na fronte, 
TÃO QUE LEVE FRONTE BEIJAR NÃO_SABER {NÃO}(headshake)	Tão levemente na fronte que não saibamos que nos beijam 
SENÃO DIFERENÇA ALMA	Senão por uma diferença na alma. 
MELODIOSO VAGO SOLUÇO PARTIR	E um vago soluço partindo melodiosamente 
ANTIGO NÓS	Do antiquíssimo de nós 
ONDE TODO ESSE RAIZ ÁRVORES MARAVILHA ELES TER	Onde têm raiz todas essas árvores de maravilha 
SONHOS FRUTOS AFAGAR NÓS AMAR	Cujos frutos são os sonhos que afagamos e amamos 
FORA PORQUE OS RELAÇÃO O VIDA SABER HAVER	Porque os sabemos fora de relação com o que há na vida.
SOLENE ELE VIR	Vem soleníssima, 
SOLENÍSSIMA CHEIO	Soleníssima e cheia 
OCULTO VONTADE SOLUÇAR	De uma oculta vontade de soluçar, 
TALVEZ PORQUE ALMA GRANDE VIDA PEQUENO	Talvez porque a alma é grande e a vida pequena. 
GESTOS NOSSO TODO CORPO SAIR (NÃO)	E todos os gestos não saem do nosso corpo 
SÓ BRAÇO NOSSO ONDE CHEGAR ALCANÇAR	E só alcançamos onde o nosso braço chega, 
SÓ OLHAR NOSSO ONDE CHEGAR VER	E só vemos até onde chega o nosso olhar.
DOLOROSO ELE VIR	Vem, dolorosa,
MATER DOLOROSA DAS ANGÚSTIAS DOS TÍMIDOS	Mater-Dolorosa das Angústias dos Tímidos,
TURRIS EBURNEA DAS TRISTEZAS DOS DESPREZADOS	Turris-Eburnea das Tristezas dos Desprezados,
MÃO FRESCO TESTA FEBRE HUMILDES	Mão fresca sobre a testa em febre dos humildes.
SABOR LÁBIOS ÁGUA CANSADOS SECOS	Sabor de água sobre os lábios secos dos Cansados.
LÁ FUNDO ELE VIR	Vem, lá do fundo
LÍVIDO HORIZONTE	Do horizonte lívido,
ELE VIR ELE ARRANCAR EU	Vem e arranca-me
SOLO ANGÚSTIA INUTILIDADE	Do solo de angústia e de inutilidade
ONDE VICEJO	Onde vicejo.
MALMEQUER MEU EU SOLO APANHAR ESQUECER	Apanha-me do meu solo, malmequer esquecido,
FOLHAR FOLHA SINO EU LER NÃO_SABER {NÃO}(headshake)	Folha a folha lê em mim não sei que sina
TEU EU AGRADO DESFOLHAR	E desfolha-me para teu agrado,
FRESCO AGRADO SILENCIOSO TEU	Para teu agrado silencioso e fresco.
FOLHA EU NORTE LANÇAR	Uma folha de mim lança para o Norte,
ONDE CIDADES EU HOJE TANTO AMAR	Onde estão as cidades de Hoje que eu tanto amei;
FOLHA OUTRO EU SUL LANÇAR	Outra folha de mim lança para o Sul,
ONDE NAVEGADORES MARES ABRIR	Onde estão os mares que os Navegadores abriram;
FOLHA MEU OUTRO ATIRAR OCIDENTE	Outra folha minha atira ao Ocidente,
ONDE FUTURO ARDER RUBRO TALVEZ	Onde arde ao rubro tudo o que talvez seja o Futuro,
EU ADORAR CONHECER	Que eu sem conhecer adoro;
OUTRA OUTRAS RESTO EU	E a outra, as outras, o resto de mim
ORIENTE ATIRAR	Atira ao Oriente,
ONDE ORIENTE TUDO DIA FÉ VIR	Ao Oriente donde vem tudo, o dia e a fé,
ORIENTE FANÁTICO QUENTE E	Ao Oriente pomposo e fanático e quente,
ORIENTE EU VER NUNCA NÃO	Ao Oriente excessivo que eu nunca verei,
ORIENTE BRAMÂNICO SINTOÍSTA	Ao Oriente budista, bramânico, sintoísta,
ORIENTE NÓS NÃO_TER {NÃO}(headshake)	Ao Oriente que tudo o que nós não temos.
NÓS	Que tudo o que nós não somos,
ORIENTE SABER QUEM ONDE AINDA TALVEZ HOJE VIVO (NÃO)	Ao Oriente onde — quem sabe? — Cristo talvez ainda hoje viva,
REAL DEUS ONDE TALVEZ EXISTIR TUDO MANDAR	Onde Deus talvez exista realmente e mandando tudo...
MARES ELE VIR	Vem sobre os mares, 
MAIORES MARES	Sobre os mares maiores, 
MARES HORIZONTES PRECISOS	Sobre os mares sem horizontes precisos, 
ELE VIR MÃO DORSO FERA ELE PASSADO	Vem e passa a mão pelo dorso da fera, 
MISTERIOSO O ACALMAR	E acalma-o misteriosamente, 
MULHER DOMADOR Ó COISA AGITAR	Ó domadora hipnótica das coisas que se agitam muito!
CUIDADOSO ELE VIR	Vem, cuidadosa, 
MATERNAL ELE VIR	Vem, maternal, 
ANTEPÉ PÉ ENFERMEIRO TU SENTAR	Pé antepé enfermeira antiquíssima, que te sentaste 
JÁ CABECEIRA DEUSES FÉS PERDER	À cabeceira dos deuses das fés já perdidas, 
JEOVÁ JÚPITER NASCER VER	E que viste nascer Jeová e Júpiter, 
PORQUE TUDO FALSO INÚTIL	E sorriste porque tudo te é falso e inútil.
SILENCIOSO EXTÁTICO NOITE VIR	Vem, Noite silenciosa e extática,
NOITE BRANCO MANTO ENVOLVER ELE VIR	Vem envolver na noite manto branco
CORAÇÃO MEU	O meu coração...
SERENO COMO BRISA TARDE LEVE	Serenamente como uma brisa na tarde leve,
TRANQUILO MATERNO GESTO AFAGAR	Tranquilamente com um gesto materno afagando.
ESTRELAS MÃOS TEU LUZIR	Com as estrelas luzindo nas tuas mãos
MÁSCARA LUA FACE MISTERIOSO TEU	E a lua máscara misteriosa sobre a tua face.
TODO SONS OUTRO MANEIRA SOAR	Todos os sons soam de outra maneira
QUANDO TU VIR	Quando tu vens.
QUANDO TODAS AS TU ENTRAR MULHER VOZ BAIXAR	Quando tu entras baixam todas as vozes,
NINGUÉM ENTRAR VER	Ninguém te vê entrar.
NINGUÉM SABER QUANDO TU ENTRAR	Ninguém sabe quando entraste,
SENÃO REPENTE TUDO RECOLHER VER	Senão de repente, vendo que tudo se recolhe,
TUDO ARESTAS MULHER COR PERDER	Que tudo perde as arestas e as cores,
CLARO ALTO AZUL CÉU AINDA	E que no alto céu ainda claramente azul
JÁ CRESCENTE NÍTIDO OU CÍRCULO BRANCO OU LUZ VIR	Já crescente nítido, ou círculo branco, ou mera luz nova que vem,
LUA REAL COMEÇAR	A lua começa a ser real.
MUDO LAGO EU CONTEMPLAR	Contemplo o lago mudo
BRISA ESTREMECER	Que uma brisa estremece.
EU PENSAR TUDO NÃO_SABER {NÃO}(headshake)	Não sei se penso em tudo
OU SE TUDO EU ESQUECER	Ou se tudo me esquece.
LAGO NADA EU DIZER	O lago nada me diz.
BRISA MEXER SENTIR (NÃO)	Não sinto a brisa mexê-lo.
FELIZ EU NÃO_SABER {NÃO}(headshake)	Não sei se sou feliz
NEM EU DESEJAR	Nem se desejo sê-lo.
TRÉMULOS RISONHOS VINCOS	Trémulos vincos risonhos
ÁGUA ADORMECER	Na água adormecida.
EU SONHOS FAZER	Por que fiz eu dos sonhos
{VIDA MEU}(q)	A minha única vida?
FLOR EU TER DAR	Tive uma flor para dar
FLOR EU TER DAR	Tive uma flor para dar
A DIZER OUSAR (NÃO)	A quem não ousei dizer
LHE FALAR QUERER	Que lhe queria falar,
FLOR MORRER	E a flor teve que morrer.
{HOJE SÓ ÀS VEZES PASMO ELE FALHAR RECONHECER FALHAR PREVER EU PROGNOSTICAR TRIUNFO HAVER CEGO CERTO EU FORÇA VENCEDORES OU VISÃO NÃO_TER LOUCOS}(q)	Reconheço hoje que falhei, só pasmo, às vezes, de não ter previsto que falharia. Que havia em mim que prognosticasse um triunfo? Eu não tinha a força cega dos vencedores ou a visão certa [?] dos loucos...
LÚCIDO DIA TRISTE COMO FRIO	Era lúcido e triste como um dia frio.
