Bom dia, Mike.	BOM DIA MIKE
"O que está acontecendo na caverna? Estou curioso." "Não faço ideia"	{O CAVERNA ACONTECER CURIOSO IDEIA EU FAZER NÃO}(q)
"Qual é o problema?", perguntou o pequeno coelho branco.	PROBLEMA QUAL PEQUENO BRANCO COELHO ELE PERGUNTAR (NÃO)
"Quem é esse?" "Sou eu."	QUEM ESSE EU
"Quem escreveu esse livro?" "Foi John."	QUEM ESSE LIVRO ESCREVER JOHN IR
Uma criança precisa de amor.	CRIANÇA PRECISO AMOR
Um piano é caro, mas um carro é mais ainda.	CARO PIANO MAS AINDA CARRO MAIS
Coelhos têm orelhas grandes.	GRANDE COELHOS ORELHAS TER
Há um controle remoto debaixo do sofá.	DEBAIXO REMOTO CONTROLE SOFÁ HAVER
Uma mulher cujo marido morreu é chamada de viúva.	MULHER MARIDO MULHER VIÚVO MORRER NOME
Depois da refeição eu pedi a conta.	DEPOIS EU REFEIÇÃO CONTA PEDIR
Tudo vendido!	TUDO VENDER
Todos os esforços do médico foram em vão e o homem logo morreu.	TODO ESFORÇOS MÉDICO IR IR LOGO HOMEM ELE MORRER
Você devia pelo menos dizer "obrigado".	PELO MENOS VOCÊ OBRIGADO DEVER
Você nunca tem tempo para coisas importantes!	IMPORTANTES VOCÊ COISA TER NUNCA NÃO
Você pensa demais.	DEMAIS VOCÊ PENSAR
Olho por olho, dente por dente.	OLHO DENTE OLHO DENTE
E o que nós vamos fazer?	{O NÓS FAZER}(q)
Ann tem uma queda por chocolate.	ANN QUEDA CHOCOLATE TER
Tudo que é muito estúpido para ser dito é cantado.	TUDO ESTÚPIDO DIZER
São todos do mesmo tipo?	{TIPO TODO MESMO}(q)
São todos iguais?	{TODO IGUAIS}(q)
Eles são americanos?	{ELES AMERICANOS}(q)
Você está só?	{SÓ VOCÊ}(q)
Você é chinês ou japonês?	{VOCÊ JAPONÊS CHINÊS OU}(q)
Você é a favor ou contra abortos?	{VOCÊ ABORTOS OU}(q)
Você tem interesse por música?	{VOCÊ MÚSICA INTERESSE TER}(q)
Você está dizendo que minha vida corre perigo?	{VOCÊ VIDA MEU CORRER PERIGO DIZER}(q)
Como estou de folga hoje, vamos para a praia.	HOJE COMO FOLGA NÓS IR PRAIA
Finalmente o ônibus parou.	FINAL ÔNIBUS PARAR
Naquela época o México ainda não era independente da Espanha.	MÉXICO AQUELE ESPANHA ÉPOCA (NÃO)
Aos seis anos de idade ele tinha aprendido a usar a máquina de escrever e disse ao professor que ele não precisava aprender a escrever a mão.	ELE 6 IDADE ANO MÁQUINA USAR APRENDER ESCREVER ELE PROFESSOR MÃO DIZER APRENDER ESCREVER PRECISAR (NÃO)
A bateria está baixa.	BATERIA BAIXA
A bateria está acabando.	BATERIA ACABAR
Resta pouca bateria.	BATERIA POUCO ELE RESTAR
Antes tarde do que nunca.	TARDE DO QUE ANTES NUNCA NÃO
Bob me ajudou.	BOB EU AJUDAR
Chame a polícia!	POLÍCIA ELE NOME
Posso ver seu jornal?	{JORNAL SEU VER EU PODER}(q)
Posso lhe ajudar?	{LHE AJUDAR PODER}(q)
Posso te ajudar de alguma forma?	{ALGUM FORMA AJUDAR EU PODER}(q)
Você pode me recomendar uma boa câmera?	{VOCÊ EU BOM CÂMERA RECOMENDAR PODER}(q)
Gatos são animais muito limpos.	GATOS ANIMAL LIMPOS
Gatos normalmente odeiam cachorros.	NORMAL GATOS CACHORROS ODIAR
Crianças deveriam obedecer a seus pais.	CRIANÇAS PAIS SEU OBEDECER DEVER
A China é rica em recursos naturais.	CHINA MULHER RICO RECURSOS NATURAIS
A China é o maior país da Ásia.	CHINA MAIOR PAÍS ÁSIA
Escolha entre estes dois.	ESTE 2 ESCOLHA
O Natal já está aí.	AÍ NATAL JÁ
O Natal está bem próximo.	NATAL PRÓXIMO TUDO BEM
Café, por favor; com creme e açúcar.	CAFÉ FAVOR CREME AÇÚCAR
Venha e nos ajude.	EU VIR NÓS AJUDAR
Alguém tenha a coragem de admitir que essas vuvuzelas estão acabando com o torneio.	VUVUZELAS ALGUÉM ESSE ACABAR CORAGEM TORNEIO TER ADMITIR
Acima de tudo, tenha cuidado com o que você come e bebe.	TUDO VOCÊ O CUIDAR COMER ELE BEBER
A mãe dela está chegando no trem das 9:10.	MÃE TREM 9:10 CHEGAR
Eu senti um impulso de chorar bem alto.	BEM EU ALTO IMPULSO SENTIR CHORAR
Ele normalmente se acorda às seis.	NORMAL ELE 6 ACORDAR
Eu ri.	EU RIR
Parece que você tem o número errado.	VOCÊ TER NÚMERO PARECER ERRAR
Ele raramente escreve para seus pais.	RARO ELE SEU PAIS ESCREVER
Nós usamos palavras para nos comunicarmos.	NÓS PALAVRAS NÓS COMUNICAR USAR
Meu pai se aposentou aos 65 anos de idade.	PAI ANO MEU 65 IDADE APOSENTAR
Dê o melhor de si em tudo.	DÊ MELHOR SI TUDO
Ela foi para fora para respirar ar puro.	FORA RESPIRAR PURO AR ELE IR
Eles estão na mesma classe.	ELES MESMA CLASSE
Estava tão escuro que eles mal podiam enxergar.	TÃO ESCURO ELES MAL PODER ENXERGAR
O dia logo vai nascer.	LOGO DIA NASCER
O policial separou os dois homens que estavam brigando.	POLICIAL 2 HOMEM SEPARAR BRIGAR
Não importa o que ele disse, não confie nele.	ELE O NELE DIZER IMPORTAR NÃO CONFIAR (NÃO)
Ele é a última pessoa que eu quero ver agora.	AGORA ELE PESSOA EU VER QUERER
A estátua foi feita em um molde.	ESTÁTUA MOLDE FAZER
Há um problema que você não consegue ver.	VOCÊ PROBLEMA HAVER VER CONSEGUIR (NÃO)
Estes são nossos livros.	ESTES LIVRO NOSSO
Essas laranjas estragaram.	LARANJAS ESSE ESTRAGAR
Essas laranjas ficaram podres.	LARANJAS ESSE PODRES FICAR
Eles viveram felizes para sempre.	SEMPRE ELES FELIZES VIVER
Eles o respeitam.	ELES O RESPEITAR
Esse é um livro sobre estrelas.	ESSE LIVRO ESTRELAS
Isso é o que eu teria dito.	ISSO O EU DIZER
Venha!	ELE VIR
Venha rápido!	RÁPIDO EU VIR
Venha logo!	LOGO EU VIR
Os computadores estão sempre sendo melhorados.	SEMPRE COMPUTADORES MELHORAR
Você poderia explicar como a máquina de lavar louças funciona?	{VOCÊ MÁQUINA LOUÇAS FUNCIONAR EXPLICAR PODER LAVAR}(q)
Você poderia me dizer como se chega na estação?	{VOCÊ ESTAÇÃO EU COMO SE CHEGAR DIZER PODER}(q)
Você recebeu a carta?	{VOCÊ CARTA RECEBER}(q)
Eles vendem notebooks na loja?	{ELES NOTEBOOKS LOJA VENDER}(q)
Você acredita em fantasmas?	{VOCÊ FANTASMAS ACREDITAR}(q)
Por um acaso você sabe onde ela mora?	VOCÊ MORAR SABER ONDE (NÃO)
Você está com dor de cabeça?	{VOCÊ DOR CABEÇA}(q)
Você tem amigos na Antígua?	{VOCÊ ANTÍGUA AMIGO TER}(q)
Você sabe qual é a capital da Bélgica?	VOCÊ CAPITAL BÉLGICA SABER QUAL (NÃO)
Você sabe onde está o meu relógio?	VOCÊ MEU RELÓGIO SABER ONDE (NÃO)
Você sabe qual é o seu tamanho?	VOCÊ TAMANHO SEU SABER QUAL (NÃO)
Você gosta de rap?	{VOCÊ RAP GOSTAR}(q)
Você gosta dessa cor?	{VOCÊ COR GOSTAR}(q)
Você precisa que eu te dê algum dinheiro?	{VOCÊ EU ALGUM TU DAR DINHEIRO PRECISAR}(q)
Ele sabe que você o ama?	{ELE VOCÊ MULHER AMO SABER}(q)
Venha aqui, John.	AQUI JOHN VIR
Venha aqui.	AQUI EU VIR
Vem cá.	CÁ ELE VIR
Não pergunte o que eles pensam. Pergunte o que eles fazem.	O ELES PENSAR O ELES PERGUNTAR FAZER (NÃO)
Não se atrase para a escola amanhã.	AMANHÃ ESCOLA ELE ATRASAR (NÃO)
Não espere que as outras pessoas pensem por você.	OUTRO PESSOA ELES PENSAR VOCÊ ESPERAR (NÃO)
Não esqueça da nota fiscal.	FISCAL NOTA ELE ESQUECER (NÃO)
Não fique bravo.	BRAVO ELE FICAR (NÃO)
Não se enraiveça.	ELE ENRAIVECER (NÃO)
Não fale de boca cheia.	CHEIO BOCA ELE FALIR (NÃO)
Não adoce seu chá.	CHÁ SEU ELE ADOÇAR (NÃO)
Não coloque açúcar no seu chá.	AÇÚCAR CHÁ SEU ELE COLOCAR (NÃO)
Nem pense em comer meu chocolate!	NEM MEU COMER CHOCOLATE ELE PENSAR
Dirigir muito rápido é perigoso.	RÁPIDO PERIGOSO DIRIGIR
Por causa do mau tempo, o voo estava atrasado.	MAU VOO CAUSA TEMPO ATRASAR
O inglês se tornou uma língua internacional.	INTERNACIONAL INGLÊS LÍNGUA TORNAR
O inglês também é estudado na China.	TAMBÉM INGLÊS CHINA ESTUDAR
Divirta-se na festa, John.	JOHN FESTA DIVERTIR
Todo mundo sabe disso.	TODO MUNDO ISSO SABER
Todo mundo riu.	TODO MUNDO RIR
Todos riram.	TODO ELES RIR
Todo mundo conhece a lei.	TODO MUNDO LEI CONHECER
Todos estão cientes da legislação.	TODO CIENTES LEGISLAÇÃO
Todos gostariam de acreditar que os sonhos podem se tornar realidade.	TODO SONHOS PODER REALIDADE ACREDITAR TORNAR GOSTAR
Exatamente!	EXATAMENTE
Papai veio para casa mais ou menos há dez minutos atrás.	CASA PAPAI MAIS OU MENOS 10 MINUTO ATRÁS VIR HAVER
Ela me passou um cartão-postal.	EU CARTÃO POSTAL PASSADO
Poucos estudantes sabem ler em latim.	POUCO ESTUDANTES LATIM LER SABER
Terminar o relatório amanhã é quase impossível.	AMANHÃ TERMINAR IMPOSSÍVEL RELATÓRIO QUASE
Peixes vivem na água.	PEIXES ÁGUA VIVER
Florença é a cidade mais bonita da Itália.	FLORENÇA BONITO CIDADE ITÁLIA MAIS
Esqueça.	ELE ESQUECER
A liberdade não é de graça.	GRAÇA
A liberdade não vem sem esforço.	ESFORÇO ELE VIR (NÃO)
A Geórgia é seu país natal.	GEÓRGIA NATAL PAÍS SEU
Alemão não é uma língua fácil.	ALEMÃO LÍNGUA FÁCIL (NÃO)
Girafas têm pescoços muito longos.	GIRAFAS LONGOS PESCOÇOS TER
Me dê uma garrafa de vinho.	GARRAFA EU VINHO DAR
Vá para a escola.	ESCOLA EU IR
Boa sorte!	BOM SORTE
Você decidiu ir para o Japão?	{VOCÊ JAPÃO IR DECIDIR}(q)
Você já viu um panda?	{JÁ VOCÊ PANDA VER}(q)
Você tem um lápis?	{VOCÊ LÁPIS TER}(q)
Ele não fez nada errado.	ELE NADA ERRAR FAZER (NÃO)
Ele não sabe dirigir um carro.	ELE CARRO DIRIGIR NÃO_SABER {NÃO}(headshake)
Ele não sabe dirigir.	ELE DIRIGIR NÃO_SABER {NÃO}(headshake)
Ele não fuma.	ELE FUMAR (NÃO)
Ele teve a sorte de encontrar trabalho.	ELE SORTE TRABALHO TER ENCONTRAR
Ele tem outro filho.	ELE OUTRO FILHO TER
Ele só tem um objetivo na vida: ganhar dinheiro.	SÓ ELE OBJETIVO VIDA GANHAR DINHEIRO TER
Ele está morto há três anos.	ELE MATAR 3 ANO
Ele não tem filhos.	ELE FILHOS NÃO_TER {NÃO}(headshake)
Ele não tem onde morar.	ONDE ELE MORAR (NÃO)
Ele não tem uma casa onde possa viver.	ONDE ELE CASA VIVER PODER NÃO_TER {NÃO}(headshake)
Eu esperei horas, mas ela não apareceu.	EU HORAS ESPERAR MAS ELE APARECER (NÃO)
Ele tem dois lápis; um grande e um pequeno.	ELE 2 LÁPIS GRANDE PEQUENO TER
Ele está cheio de energia.	ELE CHEIO ENERGIA
Ele é introvertido.	ELE INTROVERTER
Ele não é burro.	ELE BURRO (NÃO)
Ele está procurando emprego.	ELE PROCURAR
Ele é inteligente.	ELE INTELIGENTE
Com certeza ele vem.	ELE CERTEZA VIR
Ele está ao telefone.	ELE TELEFONE
Ele está falando no telefone.	ELE TELEFONE FALAR
Ele mantém sua palavra.	ELE PALAVRA SEU MANTER
Ele mora em Tóquio.	ELE TÓQUIO MORAR
Ele joga baseball todo dia.	ELE BASEBALL TODO DIA JOGAR
Ele prometeu casar-se com ela.	ELE ELE CASAR PROMETER
Ele colocou sua mão no meu ombro.	MEU ELE MÃO OMBRO SEU COLOCAR
Ele resolveu o problema com facilidade.	ELE PROBLEMA FACILIDADE RESOLVER
Ele facilmente resolveu o problema.	FACILMENTE ELE PROBLEMA RESOLVER
Ele me contou a história da vida dele.	DELE DELE EU HISTÓRIA VIDA CONTAR
Ele já é um homem.	JÁ ELE HOMEM
O calor é uma forma de energia.	CALOR FORMA ENERGIA
Oi? Você ainda está aí?	{OI AINDA VOCÊ AÍ}(q)
O marido dela está na prisão há três anos.	PRISÃO MARIDO 3 ANO
O marido dela agora está morando em Tóquio.	AGORA MARIDO TÓQUIO MORAR
A mãe dela foi quem a transformou no que ela é.	A MÃE ELA TRANSFORMAR IR
Aqui estamos.	AQUI
Seu país de origem é a Alemanha.	PAÍS ORIGEM ALEMANHA SEU
Sua mãe está preocupada com ele.	SEU MÃE PREOCUPAR DELE
Hitler levou a Alemanha à guerra.	HITLER ALEMANHA GUERRA LEVAR
Hmm, eu tenho um pressentimento que eu vou me perder não importa que caminho eu pegue.	HMM EU EU QUE CAMINHO EU PRESSENTIMENTO EU PEGAR TER PERDER IMPORTAR (NÃO)
Espere, alguém está batendo na porta.	ALGUÉM ELE ESPERAR PORTA BATER
Os cavalos são animais úteis.	CAVALOS ANIMAL ÚTEIS
Como você está? Teve uma boa viagem?	{VOCÊ COMO BOM VIAGEM ELE TER}(q)
Qual é a distância daqui?	AQUI DISTÂNCIA QUAL (NÃO)
Há quantos meninos na classe?	CLASSE MENINOS HAVER QUANTOS (NÃO)
Apresse-se, ou você vai perder o trem.	ELE APRESSAR OU VOCÊ TREM PERDER
Eu admiro a coragem dele.	EU CORAGEM DELE ADMIRAR
Eu quase deixei meu guarda-chuva no trem.	QUASE EU MULHER GUARDA CHUVA MEU TREM DEIXAR
Eu sempre pensei que ter um ataque do coração era a forma da natureza dizer para você morrer.	SEMPRE EU NATUREZA VOCÊ PENSAR TER CORAÇÃO ATAQUE FORMA MORRER DIZER
Sou menino.	MENINO
Eu sou um garoto tímido.	EU TÍMIDO GAROTO
Estou comendo uma maçã.	MAÇÃ COMER
Estou feliz em fazer parte desse projeto.	FELIZ PARTE FAZER PROJETO
Eu sou destro.	EU DESTRO
Eu sou inteligente.	EU INTELIGENTE
Tenho certeza.	CERTEZA EU TER
Eu sou vegetariano.	EU VEGETARIANO
Eu sou muito perigoso.	EU PERIGOSO
Estou com muita sede.	SEDE MUITA
Eu cheguei na hora certa na escola.	CERTO EU HORA ESCOLA CHEGAR
Ontem eu comprei uma caneta da que você tem.	ONTEM EU VOCÊ CANETA COMPRAR TER
Eu comprei uma caneta igual à sua ontem.	ONTEM IGUAL EU CANETA SEU COMPRAR
Eu enterrei meu cachorro no cemitério de animais.	EU CACHORRO CEMITÉRIO ANIMAL MEU ENTERRAR
Eu vim da China.	EU CHINA VIR
Eu não posso comer num restaurante tão caro.	TÃO EU RESTAURANTE CARO COMER PODER (NÃO)
Eu não consigo acreditar no que estou vendo.	EU ACREDITAR VER CONSEGUIR (NÃO)
Eu não aguento mais! Eu não durmo faz três dias!	EU MAIS AGUENTAR NÃO EU FAZER 3 DIA DORMIR (NÃO)
Eu não consigo ir mais longe.	LONGE EU MAIS IR CONSEGUIR (NÃO)
Eu não sabia como responder a sua questão.	COMO EU SEU QUESTÃO RESPONDER NÃO_SABER {NÃO}(headshake)
Eu não sabia que ela estava doente.	EU DOENTE NÃO_SABER {NÃO}(headshake)
Eu não concordo com você.	EU VOCÊ CONCORDAR (NÃO)
Eu não me sinto bem.	BEM EU EU SENTIR (NÃO)
Eu não sei como interpretar as palavras dele.	COMO EU PALAVRAS DELE INTERPRETAR NÃO_SABER {NÃO}(headshake)
Eu não sei o que fazer a partir de agora.	AGORA EU FAZER NÃO_SABER {NÃO}(headshake)
Estou ocupado agora e não posso brincar com você.	AGORA OCUPAR VOCÊ BRINCAR PODER (NÃO)
Eu tenho um grande amor pelo Japão.	GRANDE EU AMOR JAPÃO TER
O líder deveria saber onde montar a barraca.	ONDE LÍDER BARRACA SABER MONTAR DEVER
Me desculpe, mas não posso.	EU DESCULPAR MAS EU PODER (NÃO)
Nada é mais prazeroso do que viajar.	DO QUE PRAZEROSO MAIS VIAJAR
Ela tem aulas de canto e de dança, para não mencionar natação e tênis.	AULAS CANTO ELE TER DANÇA NATAÇÃO MENCIONAR (NÃO)
Não!	NÃO
Qualquer livro serve, contanto que ele seja interessante.	CONTANTO ELE QUALQUER LIVRO INTERESSANTE
Se você deixar, ele vai levar você pelo beiço.	SE VOCÊ ELE DEIXAR VOCÊ BEIÇO LEVAR
Deitar dinheiro à rua.	DINHEIRO RUA DEITAR
Estar a fazer tijolo.	TIJOLO FAZER
Não acordar o cão que dorme.	CÃO DORMIR ACORDAR (NÃO)
Uma vida sem amor não tem sentido.	VIDA AMOR SENTIDO ELE NÃO_TER {NÃO}(headshake)
Você é o grande amor da minha vida.	VOCÊ GRANDE AMOR VIDA MEU
As crianças precisam de amor.	CRIANÇAS AMOR PRECISAR
Uau!	UAU
Nossa!	NOSSO
Está morto?	{MATAR}(q)
Ajuda!	TU AJUDAR
Atchim!	ATCHIM
Muito bom!	BOM
Massa!	MASSA
Legal!	LEGAL
Eu corro.	EU CORRER
Estude.	ELE ESTUDAR
Estudem.	ELES ESTUDAR
Errado.	ERRAR
Ação!	AÇÃO
Levante-se!	ELE LEVANTAR
Eu sei.	EU SABER
Mais alto.	ALTO MAIS
De jeito nenhum!	NENHUM JEITO
Impossível!	IMPOSSÍVEL
De maneira alguma!	ALGUM MANEIRA
Saia!	ELE SAIR
Quão grande?	{QUÃO GRANDE}(q)
Grande quanto?	GRANDE QUANTO (NÃO)
Eu ensino.	EU ENSINO
Estou triste.	TRISTE
Eu sou triste.	EU TRISTE
Sou eu.	EU
Gostou?	{ELE GOSTAR}(q)
Nada mal.	NADA MAL
Eu também.	TAMBÉM
Eu jogo tênis.	EU JOGO TÊNIS
Eu toco Chopin.	EU CHOPIN TOCAR
Eu tenho que sair.	EU SAIR
Eu devo sair.	EU SAIR DEVER
Eu amo Hitomi.	EU HITOMI AMAR
Eu o fiz ir.	EU O IR FAZER
Eu amo árabe.	ÁRABE EU AMAR
Eu gosto do inverno.	EU INVERNO GOSTAR
Eu gosto de correr.	EU CORRER GOSTAR
Eu gosto de tênis.	EU TÊNIS GOSTAR
Eu gosto de esquiar.	EU ESQUIAR GOSTAR
Eu acordei agora.	AGORA EU ACORDAR
Eu me levantei nesse exato momento.	MOMENTO EU ESSE EU EXATO LEVANTAR
Eu ajudei Tony.	EU TONY AJUDAR
Eu dei uma ajuda a Tony.	EU AJUDA TONY DAR
Estou resfriado.	RESFRIAR
Eu vou para Kyoto.	EU KYOTO IR
Eu vou para Fukui.	EU FUKUI IR
Me senti sozinho.	SÓ EU SENTIR
Eu fiquei com fome.	EU FOME FICAR
Eu sinto o peso da idade.	EU PESO IDADE SENTIR
Estou com fome!	FOME
Me sinto culpado.	EU SENTIR CULPAR
Não consigo ver.	VER EU CONSEGUIR (NÃO)
Não concordo.	EU CONCORDAR (NÃO)
Eu discordo.	EU DISCORDAR
Eu acho que sim.	SIM EU ACHAR
Eu não trabalho.	EU TRABALHO (NÃO)
Eu te amo mesmo.	MESMO EU TU
Eu o vi.	EU O VER
Eu não posso fumar.	EU FUMAR PODER (NÃO)
Estou estudando.	ESTUDAR
Eu estou grávida.	EU GRÁVIDO
Eu não estou ocupado.	EU OCUPAR (NÃO)
Eu estou livre agora.	AGORA EU LIVRE
Agora eu sou livre.	AGORA EU LIVRE
Estou confuso.	CONFUSO
Estou ocupado agora.	AGORA OCUPAR
Eu sou americano.	EU AMERICANO
Eu sou norte-americano.	EU NORTE AMERICANO
Sou todo ouvidos.	TODO OUVIDOS
Eu sou corredor.	EU CORREDOR
Eu sempre caminho.	SEMPRE EU CAMINHO
Apresse-se, Tom.	ELE APRESSAR TOM
Que maravilha!	MARAVILHA
Maravilhoso!	MARAVILHOSO
Como ela fala muito!	COMO ELE FALAR
Quantos anos ele tem?	ELE ANOS TER QUANTOS (NÃO)
Qual é a idade dele?	IDADE DELE QUAL (NÃO)
Como ele é velho!	COMO ELE VELHO
Ele fala bem.	BEM ELE FALAR
Ele fala bonito.	ELE BONITO FALAR
Ele ficou cego.	ELE CEGO FICAR
Ele está muito doente.	ELE DOENTE
Lá vem ele.	LÁ ELE VIR
Ele mentiu para mim.	ELE EU MENTIR
Ele é muito velho.	ELE VELHO
Aqui estão $10.	AQUI $10
Socorram-me, subi no ônibus em Marrocos!	ELES SOCORRER EU ÔNIBUS MARROCOS SUBIR
Ken me venceu no xadrez.	KEN EU XADREZ VENCER
Ficarei feliz em ajudá-lo.	FELIZ AJUDAR EU FICAR
Eu terei prazer em ajudá-la.	EU AJUDAR PRAZER TER
Ele está se mudando junto com sua namorada.	JUNTO ELE SEU NAMORADA MUDAR
Como foi a sua entrevista?	ENTREVISTA SEU ELE IR COMO (NÃO)
Até mesmo cirurgia plástica não adiantaria para sua feiura.	ATÉ MESMO PLÁSTICO CIRURGIA SEU FEIURA ADIANTAR (NÃO)
Vire à direita no cruzamento.	DIREITA CRUZAMENTO ELE VIRAR
Ela está vendendo drogas em shows.	DROGAS SHOWS VENDER
Eu não devia ter me deslogado.	EU DESLOGADO DEVER (NÃO)
Você pode provavelmente adivinhar o que acontece, porém.	PROVAVELMENTE VOCÊ PORÉM O ADIVINHAR PODER ACONTECER
Eu suponho que por trás de tudo que temos que fazer há algo que queremos fazer...	QUE EU HAVER TUDO ALGO SUPOR FAZER FAZER QUERER
Você realmente não tem as prioridades corretas!	VOCÊ PRIORIDADES TER TER AINDA_{NÃO}(headshake)
Não há porque fingir para me fazer acreditar que eu acredito em coisas que você não acredita!	PORQUE EU VOCÊ FINGIR EU FAZER ACREDITAR COISA ACREDITAR HAVER NÃO ACREDITAR (NÃO)
Você está referindo a mim?	{VOCÊ EU REFERIR}(q)
Sempre haverá coisas que eu nunca vou aprender. Eu não tenho a eternidade à minha disposição!	SEMPRE EU COISA HAVER APRENDER NUNCA NÃO EU ETERNIDADE MEU DISPOSIÇÃO NÃO_TER {NÃO}(headshake)
Eu queria poder me importar mais com minhas notas, mas parece que, em um certo ponto da minha vida, eu decidi que isso não seria mais tão importante.	EU MEU PODER EU NOTAS MAIS IMPORTAR QUERER MAS MAIS ISSO QUE EU CERTO VIDA MEU PARECER PONTO DECIDIR TÃO IMPORTANTE (NÃO)
Você deseja beber algo?	{ALGO VOCÊ BEBER DESEJAR}(q)
Você quer tomar alguma coisa?	{VOCÊ ALGUM COISA TOMAR QUERER}(q)
Nós devemos aprender a viver juntos como irmãos, ou vamos morrer juntos como tolos.	NÓS JUNTOS COMO IRMÃOS APRENDER VIVER DEVER OU COMO JUNTOS TOLOS MORRER
Você está em melhor forma do que eu.	VOCÊ MELHOR FORMA DO QUE EU
Você está no meio.	VOCÊ MEIO
Você está no meu caminho.	VOCÊ CAMINHO MEU
Eu vou.	EU IR
Eu irei.	EU IR
Quase me assustou não te ver online por um dia inteiro.	QUASE EU ONLINE DIA INTEIRO VER ASSUSTAR (NÃO)
"Ela gosta de música." "Eu também."	MÚSICA ELE GOSTAR TAMBÉM
Me avise se houver algo que eu possa fazer.	EU AVISAR EU ALGO HAVER FAZER PODER
Se você não comer, você morre.	VOCÊ VOCÊ MORRER COMER (NÃO)
Por que não vamos pra casa?	{CASA NÓS IR NÃO}(q)
Me desculpe, eu não posso ficar por muito tempo.	DESCULPAR EU EU MUITO TEMPO FICAR PODER (NÃO)
Dez anos é um tempo bem longo para se esperar.	BEM TEMPO ANO 0 ESPERAR
Não é de maneira alguma raro viver mais de noventa anos.	ALGUM RARO MANEIRA MAIS 90 ANO VIVER (NÃO)
As pessoas de Madri são estranhas.	PESSOA MADRI MULHER ESTRANHO
Quando você estiver ficando parecido com a sua foto do seu passaporte, está na hora de tirar uma folga.	QUANDO SEU VOCÊ SEU FICAR PASSAPORTE FOTO HORA FOLGA PARECER TIRAR
Bem, a noite é bem longa, não é?	{BEM NOITE LONGO BEM}(q)
Eu o levarei.	EU O LEVAR
É uma pena quando alguém morre.	PENA QUANDO ALGUÉM MORRER
Eles as deixaram sem palavras.	ELES AS PALAVRAS DEIXAR
Deixaram eles sem saber o que dizer.	ELES SABER O DEIXAR DIZER
Lave antes de vestir pela primeira vez.	ANTES PELA PRIMEIRA VEZ ELE LAVAR
Pobre não é aquele que tem muito pouco, é aquele que quer ter demais.	DEMAIS POUCO AQUELE POBRE AQUELE TER TER QUERER (NÃO)
Com licença; permita-me apontar três erros no artigo acima.	ACIMA ELE PERMITIR EU 3 LICENÇA ERRO ARTIGO PERMITIR APONTAR
Eu nunca teria adivinhado isso.	EU ISSO ADIVINHAR NUNCA NÃO
Posso falar com a Sra. Brown?	{SRA. FALAR PODER BROWN}(q)
"Ah!" é uma interjeição.	AH INTERJEIÇÃO
O que você quer?	{O VOCÊ QUERER}(q)
Paris é a cidade mais bonita do mundo.	VÓS PARIR BONITO CIDADE MUNDO MAIS
Ei, talvez eu não tenha dinheiro, mas eu ainda tenho meu orgulho.	EIS TALVEZ EU DINHEIRO NÃO_TER MAS AINDA EU MEU ORGULHO TER {NÃO}(headshake)
Se eu pudesse ser desse jeito...	SE EU PODER JEITO
Se tivesse acontecido em uma cidade, o acidente teria causado um desastre.	SE ACIDENTE CIDADE ACONTECER DESASTRE CAUSAR
A comunicação deles pode ser muito mais complicada do que nós pensamos.	COMUNICAÇÃO MAIS DO QUE NÓS ELES PODER PENSAR COMPLICAR
Você que deve decidir se nós vamos ou não vamos lá.	VOCÊ NÓS IR DECIDIR DEVER OU LÁ NÓS IR (NÃO)
"Por que você não vai?" "Porque eu não quero."	VOCÊ IR NÃO PORQUE EU (NÃO)
Você teve a sorte de ele não te morder.	VOCÊ SORTE DELE TU TER MORDER (NÃO)
Eu me pergunto quanto tempo vai durar.	QUANTO EU PERGUNTAR EU TEMPO DURAR
Eu não conseguiria ter feito sem você. Obrigado.	EU FAZER VOCÊ FAZER CONSEGUIR NÃO OBRIGADO (NÃO)
Não seria possível eu fazer isso sem você. Muito obrigada.	POSSÍVEL EU FAZER ISSO VOCÊ (NÃO)
Dizem que Hamlet é a peça mais bem escrita de todas.	BEM HAMLET DIZER PEÇA MAIS TODO ESCREVER
Nos tempos modernos as pessoas estão distantes umas das outras.	PESSOA UM DISTANTES OUTRAS TEMPOS
Ivo viu a uva.	IVO UVA VER
Nós temos um papa.	NÓS PAPA TER
Aquele foi o melhor dia da minha vida.	AQUELE VIDA MELHOR DIA MEU IR
Matemáticos são como os franceses: seja o que for que você disser a eles, eles traduzem em sua própria linguagem e transformam em uma coisa totalmente diferente.	MATEMÁTICOS COMO FRANCESES O QUE VOCÊ ELES SEU DIZER ELES TRADUZIR PRÓPRIO LINGUAGEM TOTAL DIFERENTE COISA ELES TRANSFORMAR
"Você terminou?" "Ao contrário, eu ainda nem comecei."	VOCÊ TERMINAR AO CONTRÁRIO EU AINDA NEM COMEÇAR
Há 10 tipos de pessoas no mundo: aquelas que entendem binário e aquelas que não entendem.	10 MUNDO BINÁRIO TIPO PESSOA HAVER ENTENDER AQUELAS ENTENDER (NÃO)
Eu não penso, logo não existo.	LOGO EU EXISTIR NÃO PENSAR (NÃO)
Atualmente nós queremos que nossos filhos tomem suas próprias decisões, mas nós esperamos que essas decisões nos agradem.	ATUAL FILHOS SEU NÓS NOSSO TOMAR PRÓPRIAS MULHER DECISÃO QUERER MAS NÓS ESSE QUE MULHER DECISÃO AGRADAR ESPERAR
