Diana através dos ramos	ATRAVÉS DIANA RAMOS
Depois das oito horas não se pode ali, legalmente, comprar arenque, mas podem comprar-se salmão e linguado	DEPOIS ALI LEGAL 8 HORA ARENQUE COMPRAR ELE PODER MAS SALMÃO LINGUADO ELE COMPRAR PODER (NÃO)
Nesse país é crime comprar, depois das oito horas, um pastelão cozinhado, se estiver frio; mas a lei permite a sua venda se, conforme os seus dizeres, “estiver quente ou morno”	CRIME ESSE COMPRAR PAÍS DEPOIS SE PASTELÃO 8 FRIO HORA COZINHAR MAS LEI SEU SEU PERMITIR OU VENDA OU DIZER
A sopa em latas, que vários fabricantes fornecem, não pode ser comprada depois das oito horas, a não ser que o merceeiro a aqueça	FABRICANTES VÁRIOS SOPA LATAS FORNECER COMPRAR PODER NÃO DEPOIS HORA A NÃO SER QUE MERCEEIRO 8 AQUECER (NÃO)
Chocolates, doces, sorvetes não podem ser comprados depois das nove e meia da noite, estando porém abertas as lojas que os fornecem	DOCE COMPRAR ELES PODER NÃO DEPOIS 9 MEIO NOITE PORÉM ABERTAS LOJAS OS FORNECER (NÃO)
O camarão é, nessa terra, um problema jurídico tremendo, pois existe um camarão em latas que se não sabe se, tecnicamente, é camarão ou conserva; e os jurisconsultos e legisladores desse país já uma vez reuniram em conclave solene para determinar a categoria jurídica do camarão nesse estado	TECNICAMENTE POIS SE CAMARÃO PROBLEMA TERRA CAMARÃO ESSE TREMENDO EXISTIR CAMARÃO LATAS NÃO_SABER OU CONSERVA JURISCONSULTOS JÁ LEGISLADORES UMA VEZ ESSE CONCLAVE PAÍS CATEGORIA JURÍDICO CAMARÃO ESTADO DETERMINAR REUNIR {NÃO}(headshake)
Também neste país se não pode comprar aspirina, ou outro qualquer analgésico, depois das oito horas da noite, a não ser, diz a lei, que o farmacêutico fique convencido que “há motivos razoáveis para supor"" que alguém tenha dores de cabeça	TAMBÉM ESTE PAÍS ASPIRINA COMPRAR ELE PODER NÃO OU QUALQUER OUTRO ANALGÉSICO DEPOIS PARA FARMACÊUTICO QUE HAVER QUE TER LEI NOITE 8 MULHER TER DE CONVENCER FICAR (NÃO)
Não se pode, ainda nesse país, comprar, depois das oito horas da noite, um charuto ou um maço de cigarros num bufete de caminho-de-ferro, salvo se se comprar também comida para consumo no comboio	AINDA PAÍS ESSE COMPRAR PODER DEPOIS 8 HORA NOITE CHARUTO OU SALVO TAMBÉM MAÇO CAMINHO FERRO CIGARROS BUFETE CONSUMO COMBOIO COMER COMPRAR (NÃO)
Na agência de publicações, que há ali em qualquer gare, não é legal comprar, depois da mesma hora fatídica, um livro ou uma revista, ainda que a agência esteja, como em geral está, aberta	ALI QUALQUER LEGAL AGÊNCIA HAVER MULHER PUBLICAÇÃO GARE COMPRAR DEPOIS MESMA FATÍDICO LIVRO HORA OU REVISTA AINDA QUE AGÊNCIA ABERTO GERAL ESTAR (NÃO)
Nesse pais...	ESSE PAIS
Nesta altura o leitor, irritado, interrompe...	LEITOR ESTE ALTURA INTERROMPER IRRITAR
— Não há país nenhum onde isso aconteça	ONDE NENHUM ISSO HAVER PAÍS ACONTECER
A não ser que se chame “país” a qualquer reino de revista de ano, ou a qualquer nação sonhada entre os quatro muros de Rilhafoles...	A A NÃO SER QUE REINO REVISTA NOME OU NAÇÃO QUALQUER 4 MURO RILHAFOLES SONHAR
Enganar-se-ia o leitor que efectivamente fizesse esse reparo	EFECTIVO ESSE LEITOR REPARO ENGANAR FAZER
Existe, em verdade, o país onde se dão aquelas circunstâncias legais	ONDE PAÍS AQUELE VERDADE CIRCUNSTÂNCIAS LEGAIS EXISTIR DAR
Esse país é a Inglaterra — a livre e prática Inglaterra	INGLATERRA ESSE PAÍS LIVRE PRÁTICA INGLATERRA
E a lei que prescreve aquilo tudo, promulgada durante a Guerra e ainda em vigor, é a 	LEI AQUILO TUDO GUERRA PRESCREVER PROMULGAR AINDA VIGOR
(Lei de Defesa do Reino!), popularmente conhecida, das iniciais do seu nome, pela designação de “Dora”.	LEI DEFESA DO REINO POPULAR INICIAIS NOME DESIGNAÇÃO SEU CONHECER
Fixemo-nos um pouco neste exemplo fantástico	NÓS FANTÁSTICO ESTE UM POUCO EXEMPLO FIXAR
Atentemos um pouco neste caso espantoso	ESPANTOSO ESTE UM POUCO CASO NÓS ATENTAR
O que temos diante de nós é um sinal dos tempos	O NÓS SINAL TEMPOS TER
O ter-se chegado a promulgar, e o continuar-se a manter, num país de que se diz, não sem motivo, que está na vanguarda da civilização, uma lei da natureza delirante daquelas cujas prescrições citámos, revela flagrantemente a que ponto se chegou no emprego legislativo da restrição do comércio e do consumo.	PROMULGAR CHEGAR FLAGRANTE MULHER PRESCRIÇÃO PONTO MOTIVO RESTRIÇÃO CONTINUAR NATUREZA LEGISLATIVO COMÉRCIO DIZER REVELAR CITAR (NÃO)
A legislação restritiva do comércio e do consumo, a regulamentação pelo Estado da vida puramente individual, era corrente na civilização monárquica da Idade Média, e no que dela permaneceu na subsequente	LEGISLAÇÃO RESTRITIVO COMÉRCIO PURO REGULAMENTAÇÃO CONSUMO CIVILIZAÇÃO VIDA CORRENTE IDAMÉDIA MONÁRQUICO SUBSEQUENTE PERMANECER
O século XIX considerou sempre seu título de glória o ter libertado, ou o ir libertando, progressivamente o indivíduo, social e economicamente, das peias do Estado	SEMPRE SÉCULO TÍTULO SEU GLÓRIA CONSIDERAR LIBERTAR OU PROGRESSIVO SOCIAL ECONOMICAMENTE INDIVÍDUO PEIAS ESTADO LIBERTAR
No fundo, a doutrina do século XIX — representada em seu relevo máximo nas teorias sociais de Spencer — é uma reversão à política da Grécia Antiga, expressa ainda para nós na 	AINDA FUNDO SÉCULO REPRESENTAR DT(S-P-E-N-C-E-R) EXPRESSAR NÓS DOUTRINA TEORIAS AINDA RELEVAR GRÉCIA ANTIGA
de Aristóteles — que o Estado existe para o indivíduo, e não o indivíduo para o Estado, excepto quando um manifesto interesse colectivo, como na guerra, compele o indivíduo a abdicar da sua liberdade em proveito da defesa da sociedade, cuja existência, aliás, é a garantia do exercício dessa sua mesma liberdade.	ESTADO DT(A-R-I-S-T-Ó-T-E-L-E-S) EXISTIR INDIVÍDUO EXCEPTO INDIVÍDUO ESTADO QUANDO INTERESSE INDIVÍDUO EXISTÊNCIA SEU GUERRA SEU MESMA MESMA MESMA MESMA GARANTIA EXERCÍCIO MESMA LIBERDADE COMPELIR ABDICAR (NÃO)
Mas de há um tempo para cá — já desde antes da Guerra, mas sobretudo depois da Guerra, que teve por consequência acentuar certas tendências, e entre elas estas, esboçadas anteriormente — a tendência legislativa começou a ser exactamente contrária à do século anterior na prática e dos séculos anteriores na teoria	MAS JÁ TEMPO CÁ ANTES GUERRA HAVER MAS SOBRETUDO DEPOIS GUERRA CERTO CONSEQUÊNCIA TENDÊNCIAS ACENTUAR TER ANTERIOR ESTAS ESBOÇAR MULHER PRÁTICA LEGISLATIVO SÉCULO MULHER PRÁTICA ELAS CONTRÁRIO ANTERIOR E COMEÇAR EXACTO
Recomeçou-se a restringir, social e economicamente, a liberdade do indivíduo	ECONOMICAMENTE SOCIAL INDIVÍDUO RESTRINGIR ELE RECOMEÇAR
Começou	COMEÇAR
a tolher-se, social e economicamente, a vida do comerciante.	ECONOMICAMENTE ELE TOLHER SOCIAL VIDA COMERCIANTE
O problema divide-se, evidentemente, em dois problemas — o social e político, e o comercial	EVIDENTE PROBLEMA ELE DIVIDIR 2 SOCIAL POLÍTICO COMERCIAL PROBLEMA
O problema propriamente social resume-se nisto: que utilidade, geral ou particular, para a sociedade ou para o indivíduo, tem o emprego da legislação desta ordem	PROPRIAMENTE SOCIAL PROBLEMA ELE GERAL UTILIDADE ELE RESUMIR OU PARTICULAR SOCIEDADE OU ESTE INDIVÍDUO LEGISLAÇÃO ORDEM ELE TER
E o problema propriamente político é o da questão das funções legítimas do Estado, e dos seus naturais limites — um dos problemas mais graves, e porventura menos solúveis, da sociologia	PROPRIAMENTE PROBLEMA MULHER FUNÇÃO ESTADO NATURAIS MAIS GRAVES PROBLEMAS PORVENTURA PORVENTURA POLÍTICO QUESTÃO LEGÍTIMAS PORVENTURA SEU PORVENTURA SOCIOLOGIA SOLÚVEIS
Não pertence porém à índole desta Revista o tratar destes problemas, nem, portanto, sequer determinar as causas íntimas do fenómeno legislativo cuja evolução acabámos de sumariamente descrever.	ELE PERTENCER NÃO PORÉM ELE PERTENCER PORÉM SEQUER ÍNTIMAS ESTE TRATAR NEM DETERMINAR FENÓMENO ACABAR DESCREVER PROBLEMA CAUSAS LEGISLATIVO (NÃO)
É o problema comercial que tem que preocupar-nos	QUE PROBLEMA PREOCUPAR
E o problema comercial é este: Quais são as consequências comerciais, e económicas, da aplicação da legislação restritiva	PROBLEMA ESTE QUAIS ECONÓMICAS CONSEQUÊNCIAS COMERCIAIS APLICAÇÃO RESTRITIVO LEGISLAÇÃO RESTRITIVO SER
E, se as consequências não são comercial e economicamente benéficas, em proveito de quê, ou de quem, é que se julga legítimo, necessário, ou conveniente produzir esse malefício comercial e económico?	{CONSEQUÊNCIAS COMERCIAL ECONOMICAMENTE BENÉFICAS PROVEITO QUÊ É QUE NECESSÁRIO LEGÍTIMO QUEM ELE JULGAR OU COMERCIAL CONVENIENTE ESSE MALEFÍCIO PRODUZIR OU ECONÓMICO}(q)
E dar-se-á efectivamente esse proveito?	{EFECTIVO ESSE PROVEITO ELE DAR}(q)
É o que vamos examinar.	O EXAMINAR
A legislação restritiva assume cinco aspectos, consoante o elemento social que pretende beneficiar	RESTRITIVO LEGISLAÇÃO 5 ASPECTO ASSUMIR CONSOANTE ELEMENTO BENEFICIAR PRETENDER
Há, (l) a legislação restritiva que pretende beneficiar a colectividade, o país: é a que proíbe	L A HAVER LEGISLAÇÃO COLECTIVIDADE PAÍS BENEFICIAR PRETENDER PROIBIR
a importação de determinados artigos, em geral os chamados “de luxo”, com o fito de evitar um desequilíbrio cambial	DETERMINAR GERAL LUXO FITAR IMPORTAÇÃO CAMBIAL ARTIGOS NOME DESEQUILÍBRIO DETERMINAR FITAR
Há, (2) a legislação restritiva que pretende beneficiar o consumidor colectivo: é a que proíbe a exportação de determinados artigos, em geral os chamados “de primeira necessidade”, para que não escasseiem no mercado	A LEGISLAÇÃO ARTIGO ESCASSEAR BENEFICIAR PRETENDER PROIBIR DETERMINAR QUE (NÃO)
Há, (3) a legislação restritiva que pretende beneficiar o consumidor individual: é a que proíbe ou cerceia a venda de determinados artigos — desde a cocaína às bebidas alcoólicas — por o seu uso, ou fácil abuso, ser nocivo ao indivíduo; e aquela legislação corrente que proíbe, por exemplo, o jogo de azar é exactamente da mesma natureza	A LEGISLAÇÃO CONSUMIDOR HAVER 3 BENEFICIAR PRETENDER PROIBIR OU LEGISLAÇÃO PRETENDER INDIVIDUAL HAVER 3 RESTRITIVO CONSUMIDOR BENEFICIAR PROIBIR OU DETERMINAR COCAÍNA VENDA BEBER SEU ARTIGOS MULHER ALCOÓLICO USO CERCEAR DETERMINAR OU FÁCIL ABUSO NOCIVO INDIVÍDUO POR EXEMPLO AZAR AQUELE LEGISLAÇÃO QUE JOGO NATUREZA MESMA PROIBIR EXACTO
Há, (4) a legislação restritiva que pretende beneficiar o operário e o empregado: é a que restringe as horas de trabalho, e as de abertura de estabelecimentos, e põe limites e condições ao exercício de determinados comércios e de determinadas indústrias	4 LEGISLAÇÃO OPERÁRIO HAVER BENEFICIAR PRETENDER EMPREGADO A HORAS RESTRINGIR ABERTURA ESTABELECIMENTOS LIMITES ELE PÔR MULHER CONDIÇÃO EXERCÍCIO COMÉRCIOS DETERMINAR INDÚSTRIAS DETERMINAR
Há, (5) a legislação restritiva que pretende beneficiar o industrial: é a legislação pautal na sua generalidade proteccionista.	INDUSTRIAL SEU HAVER 5 GENERALIDADE GENERALIDADE PAUTAL GENERALIDADE PROTECCIONISTA LEGISLAÇÃO BENEFICIAR PRETENDER
Fixemos, desde já, o primeiro ponto; tiremos, desde já, a primeira conclusão, que é inevitável	DESJÁ PONTO FIXAR DESJÁ TIRAR CONCLUSÃO INEVITÁVEL
Todos estes tipos de legislação restritiva — beneficiem ou não a quem pretendem beneficiar —prejudicam aquela desgraçada entidade chamada o comerciante	RESTRITIVO TIPOS TODO ESTE LEGISLAÇÃO BENEFICIAR OU AQUELE NOME COMERCIANTE ENTIDADE DESGRAÇAR BENEFICIAR PREJUDICAR PRETENDER (NÃO)
A 1.ª espécie de legislação restritiva limita-lhe as importações; a 2.ª limita-lhe as exportações; a 3.ª limita-lhe as vendas; a 4.ª limita-lhe as condições de produção, se é também industrial, e as horas de venda, se é simples comerciante; a 5.ª restringe-lhe a liberdade de concorrer	MULHER CONDIÇÃO ESPÉCIE MULHER EXPORTAÇÃO LEGISLAÇÃO INDUSTRIAL INDUSTRIAL INDUSTRIAL INDUSTRIAL VENDA PRODUÇÃO INDUSTRIAL LIMITAR LIMITAR COMERCIANTE HORA SIMPLES 0 VENDA RESTRINGIR LHE CONCORRER
Não consideremos agora se seria socialmente legítima ou ilegítima a liberdade que ele teria se essa vária legislação lha não restringisse	AGORA SOCIAL LEGÍTIMO OU A ESSE SE ELE ILEGÍTIMO LEGISLAÇÃO LHE RESTRINGIR (NÃO)
Fixemos apenas este ponto: toda esta legislação prejudica o comerciante, toda esta legislação tende a diminuir e afogar o comércio dum país e, na proporção em que o faz, a cercear a expansão da sua vida económica	LEGISLAÇÃO APENAS ESTE TODO ESTE TODO ESTE PONTO COMERCIANTE TENDER LEGISLAÇÃO PREJUDICAR DIMINUIR FIXAR APENAS ESTE TODO ESTE COMERCIANTE ESTE LEGISLAÇÃO TENDER PONTO LEGISLAÇÃO TODO DIMINUIR PREJUDICAR FIXAR PAÍS VIDA COMÉRCIO PROPORÇÃO QUE SEU ECONÓMICO EXPANSÃO AFOGAR CERCEAR
Este ponto fica assente, fica irrevogavelmente assente	IRREVOGAVELMENTE PONTO ESTE ASSENTE ASSENTE FICAR FICAR
Resta saber se há qualquer proveito social neste desproveito comercial, se qualquer dos elementos sociais, que se procura beneficiar com este prejuízo ao comércio, efectivamente beneficia com esse prejuízo.	EFECTIVO ESSE QUALQUER ESTE ESTE ELEMENTOS EFECTIVO EFECTIVO EFECTIVO COMÉRCIO EFECTIVO PREJUÍZO BENEFICIAR RESTAR BENEFICIAR PROCURAR
A restrição das importações, e sobretudo a dos artigos “de luxo”, não ocorreu nunca a qualquer cérebro lúcido como processo directo, ou fundamental, para melhorar o câmbio	RESTRIÇÃO MULHER IMPORTAÇÃO SOBRETUDO ARTIGOS DE QUALQUER NUNCA CÉREBRO A LÚCIDO COMO OU FUNDAMENTAL MELHORAR CÂMBIO (NÃO)
Todos sabem que a melhoria cambial tem que partir de origens mais vitais e mais profundas	MAIS QUE TODO MELHORIA VITAIS PROFUNDAS MULHER ORIGEM MAIS SABER
Essa medida é tão-somente um processo acessório, ou auxiliar, de tentar conseguir esta melhoria	TÃO SOMENTE MEDIDA ESSE PROCESSO ACESSÓRIO OU AUXILIAR ESTE MELHORIA CONSEGUIR TENTAR
Mas essas importações, que se restringem, de alguma parte hão-de vir	MAS MULHER IMPORTAÇÃO ALGUM ESSE PARTE VIR RESTRINGIR
E não é de supor que o país, ou países, de onde elas vêm, aceitem de bom grado essa limitação, por pequena que seja, da sua exportação	PAÍS SUPOR OU ONDE PAÍSES ELAS ESSE SEU ACEITAR GRADO LIMITAÇÃO PEQUENO EXPORTAÇÃO ACEITAR VIR (NÃO)
Exercerão represálias — as chamadas represálias económicas	NOME REPRESÁLIAS ECONÓMICAS REPRESÁLIAS ELES EXERCER
Restringirão, por sua vez, a nossa exportação para eles	SEU VEZ EXPORTAÇÃO NOSSO ELES RESTRINGIR
E assim a limitação da nossa importação redundará numa limitação da nossa exportação	ASSIM LIMITAÇÃO NOSSO IMPORTAÇÃO LIMITAÇÃO EXPORTAÇÃO NOSSO REDUNDAR
O impedir que saia ouro dará em impedir também que ele entre	TAMBÉM SAIR ENTRAR DAR ELE IMPEDIR IMPEDIR
Resultado final, pelo melhor: prejuízo para o comerciante importador; nenhuma influência real no câmbio; prejuízo para o comerciante exportador; perturbação da vida económica geral; irritação do consumidor	RESULTADO NENHUMA INFLUÊNCIA IRRITAÇÃO PERTURBAÇÃO MELHOR PREJUÍZO COMERCIANTE COMERCIANTE EXPORTADOR CONSUMIDOR GERAL PELAR
Resumo: prejuízo e nada.	RESUMO PREJUÍZO NADA
A restrição da exportação, para que o artigo não falte no mercado, exerce-se evidentemente apenas quando se manifeste a tendência de exportar esses artigos, de preferência a vendê-los no país	EVIDENTE ARTIGO RESTRIÇÃO EXPORTAÇÃO MERCADO APENAS EXERCER FALTAR NÃO QUANDO ESSE ARTIGOS TENDÊNCIA PREFERÊNCIA PAÍS MANIFESTAR VENDER EXPORTAR (NÃO)
Ora essa tendência só se manifestará se a exportação for mais remuneradora	ORA SÓ ESSE TENDÊNCIA SE EXPORTAÇÃO REMUNERADOR MAIS IR
E, havendo realmente consumo no país, a exportação será mais remuneradora só quando a moeda dele estiver desvalorizada	REAL PAÍS MAIS HAVER CONSUMO SÓ MULHER REMUNERADOR MOEDA
Ora num país de moeda desvalorizada um dos primeiros propósitos dos dirigentes deve ser o valorizá-la; provocar e estimular a exportação é um dos processos mais directos para consegui-lo; mas proibir a exportação não é maneira mais recomendável de a estimular	ORA PRIMEIRO MOEDA PAÍS PROPÓSITOS DIRIGENTES ELE DEVER DESVALORIZAR VALORIZAR PROVOCAR ESTIMULAR EXPORTAÇÃO PROCESSOS MAIS CONSEGUIR MAS MAIS RECOMENDÁVEL MANEIRA PROIBIR EXPORTAÇÃO ESTIMULAR (NÃO)
Isto, porém, é o menos	MENOS ELE PORÉM
Limitar a exportação é limitar a produção	LIMITAR EXPORTAÇÃO LIMITAR PRODUÇÃO
Obrigando o produtor, ou comerciante seu agente, a vender abaixo do que pode vender, desconsola-se a produção e o comércio	PRODUTOR OU ABAIXO SEU DO QUE AGENTE PRODUÇÃO COMÉRCIO ELE DESCONSOLAR VENDER VENDER PODER
Resulta que o produtor e o comerciante ou procuram a porta falsa do contrabando, com o que se lesa o Estado, e portanto a colectividade; ou baixam instintivamente a produção e a actividade de venda por verem limitados os seus interesses primários	PRODUTOR ELE RESULTAR COMERCIANTE OU PORTA CONTRABANDO O ESTADO PROCURAR LESAR PORTANTO COLECTIVIDADE OU INSTINTIVO PRODUÇÃO ELES BAIXAR ACTIVIDADE VENDA INTERESSES PRIMÁRIOS SEU LIMITAR VER
Ninguém exerce de graça uma profissão, por generoso que seja fora do exercício dela	GRAÇA NINGUÉM EXERCÍCIO TRABALHO PROFISSÃO GENEROSO FORA
Depois, proibir a exportação é proibir o comércio de exportação.	DEPOIS EXPORTAÇÃO COMÉRCIO EXPORTAÇÃO PROIBIR
Como, quando se exporta, se exporta para alguma parte, e essa alguma parte, se não pode comprar a nós, comprará a outrem, segue que a limitação da nossa exportação é, muitas vezes, não só a limitação da exportação presente mas também a da exportação futura, pois perdemos mercados que, mais tarde, quando a nossa exportação estiver reliberada, talvez já estejam conquistados por outrem, e se nos não abram de novo com facilidade	COMO QUANDO ALGUM PARTE ELE EXPORTAR EXPORTAR NÃO SÓ SE LIMITAÇÃO PARTE NOSSO ESSE ALGUM PRESENTE PRESENTE EXPORTAÇÃO PRESENTE LIMITAÇÃO PRESENTE EXPORTAÇÃO PRESENTE COMPRAR SEGUIR COMPRAR PODER NÃO MAS TARDE POIS EXPORTAÇÃO PERDER MERCADOS MAIS COMO QUANDO ALGUM PARTE ELE EXPORTAR EXPORTAR MUITAS VEZES SEGUIR EXPORTAÇÃO NÃO SÓ PARTE NOSSO ESSE ALGUM PODER COMPRAR QUE PRESENTE OUTREM LIMITAÇÃO EXPORTAÇÃO PRESENTE COMPRAR MAS TAMBÉM MERCADOS FUTURA TARDE MAIS POIS QUE PERDER TALVEZ OUTREM EXPORTAÇÃO NOSSO JÁ NOVO ELES ABRIR (NÃO)
Assim a legislação restritiva que visa a abastecer o mercado nacional tende, no fim, para desabastecê-lo e, quando visa a restringir temporariamente a exportação, consegue, muitas vezes, restringi-la definitivamente.	ASSIM MERCADO LEGISLAÇÃO RESTRITIVO VISAR TENDER NACIONAL FIM DESABASTECÊ LO ABASTECER MUITAS VEZES RESTRINGIR EXPORTAÇÃO ELE CONSEGUIR DEFINITIVO TEMPORARIAMENTE RESTRINGIR
Chegámos ao ponto cómico desta travessia legislativa	CÓMICO LEGISLATIVO ESTE PONTO TRAVESSIA NÓS CHEGAR
Chegámos ao exame daquela legislação restritiva que visa a beneficiar o indivíduo, impedindo que ele faça mal à sua preciosa saúde moral e física	AQUELE QUE ELE PRECIOSO SEU E E EXAME MORAL FÍSICO SAÚDE CHEGAR BENEFICIAR VISAR IMPEDIR
É este o caso de legislação restritiva que se acha tipicamente exemplificado no diploma que é o exemplo de toda a legislação restritiva, quer quanto à sua natureza quer quanto aos seus efeitos — a famosa Lei Seca dos Estados Unidos da América	TIPICAMENTE EXEMPLIFICAR ESTE CASO QUE EXEMPLO TODA A SEU EFEITOS FAMOSO RESTRITIVO QUERER QUANTO LEGISLAÇÃO QUERER NATUREZA LEI SECA DOS ESTADOS UNIDOS DA AMÉRICA
Vejamos em que deu a operação dessa lei.	OPERAÇÃO LEI NÓS VER DAR
Não olhemos ao caso social; tratá-lo não está na índole desta Revista, nem, portanto, na deste artigo	SOCIAL ESTE CASO REVISTA ARTIGO TRATAR OLHAR (NÃO)
Não consideremos o que há de deprimente e de ignóbil na circunstância de se prescrever a um adulto, a um homem, o que há-de beber e o que não há-de beber; de lhe pôr açaimo, como a um cão, ou um colete de forças, como a um doido	O DEPRIMENTE HAVER NÓS CONSIDERAR NÃO IGNÓBIL O CIRCUNSTÂNCIA ADULTO HOMEM BEBER PRESCREVER O COMO AÇAIMO FORÇAS DOIDO BEBER PÔR 1 (NÃO)
Nem consideremos que, indo por esse caminho, não há lugar certo onde logicamente se deva parar: e se o Estado nos indica o que havemos de beber, por que não decretar o que havemos de comer, de vestir, de fazer	NEM LOGICAMENTE ESSE CAMINHO LUGAR ONDE IR NÓS CONSIDERAR PARAR DEVER HAVER NÃO SE ESTADO O O O INDICAR BEBER HAVER COMER VESTIR FAZER HAVER (NÃO)
por que não prescrever onde havemos de morar, com quem havemos de casar ou não casar, com quem havemos de dar-nos ou não dar-nos	ONDE HAVER HAVER MORAR CASAR PRESCREVER NÃO OU HAVER DAR CASAR NÃO OU DAR (NÃO)
Todas estas coisas têm importância para a nossa saúde física e moral; e se o Estado se dispõe a ser médico, tutor e ama para uma delas, por que razão se não disporá a sê-lo para todas?	{FÍSICO NOSSO TODO ESTE COISA IMPORTÂNCIA SAÚDE ELES TER MORAL SE ESTADO DISPOR MÉDICO TUTOR RAZÃO MULHER AMO ELAS NÃO ESTAR CERTO TODO DISPOR NÃO}(q)
Não olhemos, também, a que este interesse paternal é exercido pelo Estado, e que o Estado não é uma entidade abstracta, mas se manifesta através de ministros, burocratas e fiscais — homens, ao que parece, e nossos semelhantes, e incompetentes portanto, do ponto de vista moral, se não de todos os pontos de vista, para exercer sobre nós qualquer vigilância ou tutela em que sintamos uma autoridade plausível	TAMBÉM INTERESSE ESTE EXERCER ESTADO OLHAR NÃO QUE ESTADO ENTIDADE ABSTRACTO MAS BUROCRATAS MINISTROS ELE MANIFESTAR FISCAIS HOMEM PARECER SEMELHANTES NOSSO TAMBÉM QUE ESTE INTERESSE PATERNAL ESTADO NÃO ESTAR CERTO QUE ABSTRACTO ESTADO ENTIDADE MAS BUROCRATAS MINISTROS ELE MANIFESTAR FISCAIS HOMEM ELE PARECER NOSSO SEMELHANTES TODO PONTOS PONTO PORTANTO INCOMPETENTES VISTA NÓS QUALQUER VIGILÂNCIA PORTANTO AUTORIDADE TUTELA PLAUSÍVEL QUE SENTIR (NÃO)
Não olhemos a isto tudo, que indigna e repugna; olhemos só às consequências rigorosamente materiais da Lei Seca	ELE TUDO INDIGNAR OLHAR NÃO RIGOROSO MATERIAIS ELE REPUGNAR CONSEQUÊNCIAS SÓ LEI SECA OLHAR (NÃO)
Quais foram elas	QUAIS ELAS IR
Foram três.	3 ELES IR
1) Dada a criação necessária, para o “cumprimento” da Lei, de vastas legiões de fiscais — mal pagos, como quase sempre são os funcionários do Estado, relativamente ao meio em que vivem —, a fácil corruptibilidade desses elementos, neste caso tão solicitados, tornou a Lei nula e inexistente para as pessoas de dinheiro, ou para as dispostas a gastá-lo	RELATIVO ESTADO 1 CRIAÇÃO NECESSÁRIO QUE FÁCIL TORNAR FISCAL COMO SEMPRE TÃO TÃO TÃO DAR LEI NULO CORRUPTIBILIDADE TÃO MEIO SOLICITAR PESSOA INEXISTENTE DINHEIRO OU DISPOR GASTAR
Assim esta lei dum país democrático é, na verdade, restritiva apenas para as classes menos abastadas e, particularmente, para os mais poupados e mais sóbrios dentro delas	ASSIM ESTE LEI PAÍS RESTRITIVO APENAS ABASTAR MAIS DEMOCRÁTICO PARTICULAR CLASSES DENTRO ELAS MAIS SÓBRIOS
Não há lei socialmente mais imoral que uma que produz estes resultados	SOCIAL MAIS ESTE LEI RESULTADOS PRODUZIR HAVER (NÃO)
Temos, pois, como primeira consequência da Lei Seca, o acréscimo de corruptibilidade dos funcionários do Estado, e, ao mesmo tempo, o dos privilégios dos ricos sobre os pobres, e dos que gastam facilmente sobre os que poupam.	AO MESMO TEMPO COMO PRIMEIRO POBRES LEI SECA ESTADO POIS CONSEQUÊNCIA ACRÉSCIMO CORRUPTIBILIDADE FUNCIONÁRIOS PRIVILÉGIOS RICOS TER FACILMENTE QUE ELES GASTAR POUPAR
2) Paralelamente a esta larga corrupção dos fiscais do Estado, pagos, quando não para directamente fornecer bebidas alcoólicas pelo menos para as não ver fornecer, estabeleceu-se,	ESTE 2 PARALELAMENTE LARGO PAGO FISCAL ESTADO QUANDO DIRECTO PELO MENOS BEBIDAS FORNECER FORNECER ELE ESTABELECER VER (NÃO)
adentro do Estado propriamente dito, um segundo Estado, de contrabandistas, uma organização extensíssima, coordenada e disciplinada, com serviços complexos perfeitamente distribuídos, destinada à técnica variada da violação da Lei	PROPRIAMENTE ORGANIZAÇÃO ADENTRO ESTADO CONTRABANDISTAS EXTENSO ESTADO DIZER COORDENAR PERFEITO COMPLEXOS SERVIÇOS VIOLAÇÃO LEI DISCIPLINAR DESTINAR DISTRIBUIR VARIAR
Ficou definitivamente criado e organizado o comércio ilegal de bebidas alcoólicas	DEFINITIVO CRIAR ELE FICAR ILEGAL ALCOÓLICAS COMÉRCIO BEBIDAS ORGANIZAR
E dá-se o caso, maravilhoso de ironia, de serem estes elementos contrabandistas que energicamente se opõem à revogação da Lei Seca, pois que é dela que vivem	ENERGICAMENTE POIS QUE ESTE DAR IRONIA ELEMENTOS REVOGAÇÃO LEI SECA VIVER VIVER OPOR
Afirma-se, mesmo que, dada a poderosa influência, eleitoral e social, do Estado dos Contrabandistas, não poderá ser revogada com facilidade essa lei	PODEROSO ELEITORAL MESMO QUE INFLUÊNCIA DAR ELE AFIRMAR LEI ESSE SOCIAL ESTADO DOS CONTRABANDISTAS FACILIDADE REVOGAR PODER (NÃO)
Temos, pois, como segunda consequência da Lei Seca, a substituição do comércio normal e honesto por um comércio anormal e desonesto, com a agravante de este, por ter que assumir uma organização poderosa para poder exercer-se, se tornar um segundo Estado, anti-social, dentro do próprio Estado	POIS COMO DOIS NORMAL SUBSTITUIÇÃO CONSEQUÊNCIA LEI SECA COMÉRCIO TER HONESTO ANORMAL COMÉRCIO DENTRO PODEROSO DESONESTO PRÓPRIO AGRAVANTE ESTE ORGANIZAÇÃO PODER DENTRO DENTRO DENTRO DENTRO ESTADO ASSUMIR EXERCER
